STT;Ma nganh;SBD;NV;Xep hang;Khoi xet tuyen;Diem uu tien;Diem uu tien quy doi;Diem KK;Tong diem
159;D110105;TND008816;4;147;B;1;1;0;22,75
160;D110105;TND020060;3;147;A1;3,5;3,5;0;22,75
161;D110105;TND020814;4;147;B;1,5;1,5;0;22,75
162;D110105;TTB003732;2;147;A;3,5;3,5;0;22,75
163;D110105;YTB012303;4;147;A;1;1;0;22,75
164;D110105;YTB018220;1;147;A;1;1;0;22,75
165;D110105;BKA004168;4;165;A;0;0;0;22,5
166;D110105;BKA004249;4;165;A;0;0;0;22,5
167;D110105;BKA010605;3;165;A;1;1;0;22,5
168;D110105;BKA012597;4;165;A;1,5;1,5;0;22,5
169;D110105;HDT008505;4;165;A;1;1;0;22,5
170;D110105;HHA004656;2;165;A;1,5;1,5;0;22,5
171;D110105;HHA005754;2;165;A;0,5;0,5;0;22,5
172;D110105;HHA008093;4;165;A;0,5;0,5;0;22,5
173;D110105;KHA004612;3;165;D1;0;0;0;22,5
174;D110105;KHA006348;2;165;D1;0;0;0;22,5
175;D110105;KQH000316;2;165;A;0,5;0,5;0;22,5
176;D110105;LNH005079;3;165;A1;0,5;0,5;0;22,5
177;D110105;LNH008676;4;165;A;0,5;0,5;0;22,5
178;D110105;SPH010293;3;165;A;1;1;0;22,5
179;D110105;THP006422;4;165;A;0,5;0,5;0;22,5
180;D110105;THP007005;4;165;A;1;1;0;22,5
181;D110105;TLA000992;4;165;A;0,5;0,5;0;22,5
182;D110105;TND026740;4;165;A;0;0;0;22,5
183;D110105;TTB007037;3;165;D1;1,5;1,5;0;22,5
184;D110105;HDT006627;3;184;D1;1;1;0;22,25
185;D110105;HDT011908;4;184;A;0,5;0,5;0;22,25
186;D110105;HHA000236;3;184;A;0;0;0;22,25
187;D110105;HHA012305;4;184;D1;1;1;0;22,25
188;D110105;HHA013648;4;184;A1;0;0;0;22,25
189;D110105;KHA001845;3;184;A;1;1;0;22,25
190;D110105;KHA008962;3;184;D1;1;1;0;22,25
191;D110105;SPH008962;3;184;A;1;1;0;22,25
192;D110105;SPH010166;3;184;A;0;0;0;22,25
193;D110105;TDV016253;3;184;A1;1,5;1,5;0;22,25
194;D110105;TDV016581;4;184;A;1;1;0;22,25
195;D110105;TDV032335;4;184;A1;0,5;0,5;0;22,25
196;D110105;THP005387;2;184;A;1;1;0;22,25
197;D110105;TLA007650;4;184;D1;0;0;0;22,25
198;D110105;TLA013306;3;184;A;0;0;0;22,25
199;D110105;YTB013857;4;184;A;1;1;0;22,25
200;D110105;YTB025451;2;184;A;1;1;0;22,25
201;D110105;HDT026780;4;201;D1;0,5;0,5;0;22
202;D110105;HHA013015;2;201;A1;1,5;1,5;0;22
203;D110105;HVN005720;4;201;A;1;1;0;22
204;D110105;KQH014077;3;201;A;0,5;0,5;0;22
205;D110105;TDV010068;4;201;A;1,5;1,5;0;22
206;D110105;TDV018238;4;201;D1;1;1;0;22
207;D110105;TDV026555;4;201;A;1,5;1,5;0;22
208;D110105;THV000979;3;201;A;3,5;3,5;0;22
209;D110105;THV003361;3;201;A;0,5;0,5;0;22
210;D110105;TLA000628;3;201;A1;0;0;0;22
211;D110105;TND011782;2;201;A1;1,5;1,5;0;22
212;D110105;TND021365;2;201;B;1,5;1,5;0;22
213;D110105;TQU003346;3;201;B;1,5;1,5;0;22
214;D110105;YTB017614;2;201;A;1;1;0;22
215;D110105;BKA006379;2;215;D1;1;1;0;21,75
216;D110105;BKA014076;4;215;D1;0;0;0;21,75
217;D110105;HDT025680;3;215;A;1,5;1,5;0;21,75
218;D110105;KHA001685;2;215;A;1;1;0;21,75
219;D110105;KHA002603;2;215;A;0,5;0,5;0;21,75
220;D110105;KHA004644;3;215;D1;1;1;0;21,75
221;D110105;KHA005577;2;215;A;1;1;0;21,75
222;D110105;LNH000166;2;215;A;0,5;0,5;0;21,75
223;D110105;THP008321;4;215;A;0,5;0,5;0;21,75
224;D110105;THP010503;4;215;A;1;1;0;21,75
225;D110105;THV015578;2;215;A;1,5;1,5;0;21,75
226;D110105;TLA010518;3;215;D1;0;0;0;21,75
227;D110105;TLA012225;3;215;B;1;1;0;21,75
228;D110105;TLA012587;3;215;A;0;0;0;21,75
229;D110105;TLA013939;3;215;D1;0;0;0;21,75
230;D110105;TND019708;2;215;A;1,5;1,5;0;21,75
231;D110105;TQU003092;4;215;B;3,5;3,5;0;21,75
232;D110105;YTB000138;2;215;A;1;1;0;21,75
233;D110105;YTB013944;1;215;A;1;1;0;21,75
234;D110105;YTB015599;2;215;A;1;1;0;21,75
235;D110105;YTB018844;3;215;A1;0,5;0,5;0;21,75
236;D110105;DCN010005;1;236;B;1;1;0;21,5
237;D110105;DCN012865;2;236;A;1;1;0;21,5
238;D110105;KHA001581;2;236;A1;0;0;0;21,5
239;D110105;THV009957;4;236;D1;1,5;1,5;0;21,5
240;D110105;THV012304;3;236;A;1,5;1,5;0;21,5
241;D110105;THV012837;2;236;A;1,5;1,5;0;21,5
242;D110105;THV013814;2;236;A;1,5;1,5;0;21,5
243;D110105;TLA010540;3;236;A1;0;0;0;21,5
244;D110105;TLA013981;4;236;A;1;1;0;21,5
245;D110105;TND028163;2;236;A;3,5;3,5;0;21,5
246;D110105;TQU001717;1;236;A;1,5;1,5;0;21,5
247;D110105;TQU002234;4;236;A;1,5;1,5;0;21,5
248;D110105;DCN007152;2;248;A;1;1;0;21,25
249;D110105;DCN011839;1;248;B;1;1;0;21,25
250;D110105;KHA000018;3;248;D1;0;0;0;21,25
251;D110105;KHA001988;2;248;A;0,5;0,5;0;21,25
252;D110105;SPH018949;4;248;D1;0;0;0;21,25
253;D110105;THP007374;3;248;A;0,5;0,5;0;21,25
254;D110105;BKA000390;2;254;D1;0;0;0;21
255;D110105;BKA009905;2;254;D1;0;0;0;21
256;D110105;HDT009994;1;254;A;1;1;0;21
257;D110105;HDT028325;3;254;D1;3,5;3,5;0;21
258;D110105;HVN001774;2;254;A;0,5;0,5;0;21
259;D110105;KHA006291;2;254;A;0;0;0;21
260;D110105;KHA011043;2;254;A;0,5;0,5;0;21
